key|value
KADW|TADW
KATL|TATL
KBNA|TBNA
KBOS|TBOS
KBWI|TBWI
KCLT|TCLT
KCMH|TCMH
KCVG|TCVG
KDAL|TDAL
KDAY|TDAY
KDCA|TDCA
KDEN|TDEN
KDFW|TDFW
KDTW|TDTW
KEWR|TEWR
KFLL|TFLL
KHOU|THOU
KIAD|TIAD
KIAH|TIAH
KICH|TICH
KIDS|TIDS
KJFK|TJFK
KLAS|TLAS
KLVE|TLVE
KMCI|TMCI
KMCO|TMCO
KMDW|TMDW
KMEM|TMEM
KMIA|TMIA
KMKE|TMKE
KMSP|TMSP
KMSY|TMSY
KOKC|TOKC
KORD|TORD
KPBI|TPBI
KPHL|TPHL
KPHX|TPHX
KPIT|TPIT
KRDU|TRDU
KSDF|TSDF
KSJU|TSJU
KSLC|TSLC
KSTL|TSTL
KTPA|TTPA
KTUL|TTUL
